,Rank,Player,SACK,INT,FR,FF,DEF TD,SFTY,SPC TD,G,FPTS,FPTS/G,ROST
0,1,Arizona Cardinals (ARI),0,0,0,0,0,0,0,0,0,0,81.5%
1,2,Minnesota Vikings (MIN),0,0,0,0,0,0,0,0,0,0,14.1%
2,3,Tennessee Titans (TEN),0,0,0,0,0,0,0,0,0,0,84.0%
3,4,Tampa Bay Buccaneers (TB),0,0,0,0,0,0,0,0,0,0,94.1%
4,5,Los Angeles Rams (LAR),0,0,0,0,0,0,0,0,0,0,77.0%
5,6,San Francisco 49ers (SF),0,0,0,0,0,0,0,0,0,0,77.5%
6,7,Seattle Seahawks (SEA),0,0,0,0,0,0,0,0,0,0,7.7%
7,8,Los Angeles Chargers (LAC),0,0,0,0,0,0,0,0,0,0,22.9%
8,9,Pittsburgh Steelers (PIT),0,0,0,0,0,0,0,0,0,0,63.5%
9,10,Philadelphia Eagles (PHI),0,0,0,0,0,0,0,0,0,0,15.3%
10,11,Las Vegas Raiders (LV),0,0,0,0,0,0,0,0,0,0,10.8%
11,12,New York Jets (NYJ),0,0,0,0,0,0,0,0,0,0,2.0%
12,13,New York Giants (NYG),0,0,0,0,0,0,0,0,0,0,2.3%
13,14,New Orleans Saints (NO),0,0,0,0,0,0,0,0,0,0,60.6%
14,15,New England Patriots (NE),0,0,0,0,0,0,0,0,0,0,88.0%
15,16,Miami Dolphins (MIA),0,0,0,0,0,0,0,0,0,0,60.9%
16,17,Atlanta Falcons (ATL),0,0,0,0,0,0,0,0,0,0,4.9%
17,18,Kansas City Chiefs (KC),0,0,0,0,0,0,0,0,0,0,18.3%
18,19,Jacksonville Jaguars (JAC),0,0,0,0,0,0,0,0,0,0,1.0%
19,20,Indianapolis Colts (IND),0,0,0,0,0,0,0,0,0,0,55.5%
20,21,Houston Texans (HOU),0,0,0,0,0,0,0,0,0,0,0.9%
21,22,Green Bay Packers (GB),0,0,0,0,0,0,0,0,0,0,34.8%
22,23,Detroit Lions (DET),0,0,0,0,0,0,0,0,0,0,0.9%
23,24,Denver Broncos (DEN),0,0,0,0,0,0,0,0,0,0,41.2%
24,25,Dallas Cowboys (DAL),0,0,0,0,0,0,0,0,0,0,57.9%
25,26,Cleveland Browns (CLE),0,0,0,0,0,0,0,0,0,0,79.6%
26,27,Cincinnati Bengals (CIN),0,0,0,0,0,0,0,0,0,0,11.7%
27,28,Chicago Bears (CHI),0,0,0,0,0,0,0,0,0,0,14.4%
28,29,Carolina Panthers (CAR),0,0,0,0,0,0,0,0,0,0,64.3%
29,30,Buffalo Bills (BUF),0,0,0,0,0,0,0,0,0,0,97.5%
30,31,Baltimore Ravens (BAL),0,0,0,0,0,0,0,0,0,0,81.1%
31,32,Washington Football Team (WAS),0,0,0,0,0,0,0,0,0,0,29.3%
